127 100
0.01 0.434966 0.891748
0.02 0.434966 0.883048
0.03 0.434966 0.874349
0.04 0.434966 0.86565
0.05 0.434966 0.856951
0.06 0.434966 0.848251
0.07 0.434966 0.839552
0.08 0.434966 0.830853
0.09 0.434966 0.822153
0.1 0.434966 0.813454
0.11 0.434966 0.804755
0.12 0.434966 0.796055
0.13 0.434966 0.787356
0.14 0.434966 0.778657
0.15 0.434966 0.769958
0.16 0.434966 0.761258
0.17 0.434966 0.752559
0.18 0.434966 0.74386
0.19 0.434966 0.73516
0.2 0.434966 0.726461
0.21 0.434966 0.717762
0.22 0.434966 0.709063
0.23 0.434966 0.700363
0.24 0.434966 0.691664
0.25 0.434966 0.682965
0.26 0.434966 0.674265
0.27 0.434966 0.665566
0.28 0.434966 0.656867
0.29 0.434966 0.648167
0.3 0.434966 0.639468
0.31 0.434966 0.630769
0.32 0.434966 0.62207
0.33 0.434966 0.61337
0.34 0.434966 0.604671
0.35 0.434966 0.595972
0.36 0.434966 0.587272
0.37 0.434966 0.578573
0.38 0.434966 0.569874
0.39 0.434966 0.561174
0.4 0.434966 0.552475
0.41 0.434966 0.543776
0.42 0.434966 0.535077
0.43 0.434966 0.526377
0.44 0.434966 0.517678
0.45 0.434966 0.508979
0.46 0.434966 0.500279
0.47 0.434966 0.49158
0.48 0.434966 0.482881
0.49 0.434966 0.474181
0.5 0.434966 0.465482
0.51 0.434966 0.456783
0.52 0.434966 0.448084
0.53 0.434966 0.439384
0.54 0.434966 0.430685
0.55 0.434966 0.421986
0.56 0.434966 0.413286
0.57 0.434966 0.404587
0.58 0.434966 0.395888
0.59 0.434966 0.387188
0.6 0.434966 0.378489
0.61 0.434966 0.36979
0.62 0.434966 0.361091
0.63 0.434966 0.352391
0.64 0.434966 0.343692
0.65 0.434966 0.334993
0.66 0.434966 0.326293
0.67 0.434966 0.317594
0.68 0.434966 0.308895
0.69 0.434966 0.300196
0.7 0.434966 0.291496
0.71 0.434966 0.282797
0.72 0.434966 0.274098
0.73 0.434966 0.265398
0.74 0.434966 0.256699
0.75 0.434966 0.248
0.76 0.434966 0.2393
0.77 0.434966 0.230601
0.78 0.434966 0.221902
0.79 0.434966 0.213202
0.8 0.434966 0.204503
0.81 0.434966 0.195804
0.82 0.434966 0.187105
0.83 0.434966 0.178405
0.839999 0.434966 0.169706
0.849999 0.434966 0.161007
0.859999 0.434966 0.152307
0.869999 0.434966 0.143608
0.879999 0.434966 0.134909
0.889999 0.434966 0.126209
0.899999 0.434966 0.11751
0.909999 0.434966 0.108811
0.919999 0.434966 0.100111
0.929999 0.434966 0.0914121
0.939999 0.434966 0.0827128
0.949999 0.434966 0.0740135
0.959999 0.434966 0.0653141
0.969999 0.434966 0.0566148
0.979999 0.434966 0.0479155
0.989999 0.434966 0.0392162

0 0.479426 0.877583
0.01 0.479426 0.867994
0.02 0.479426 0.858405
0.03 0.479426 0.848817
0.04 0.479426 0.839228
0.05 0.479426 0.82964
0.06 0.479426 0.820051
0.07 0.479426 0.810463
0.08 0.479426 0.800874
0.09 0.479426 0.791286
0.1 0.479426 0.781697
0.11 0.479426 0.772109
0.12 0.479426 0.76252
0.13 0.479426 0.752932
0.14 0.479426 0.743343
0.15 0.479426 0.733754
